gene1,gene2
ENSG00000006652,ENSG00000175793
ENSG00000006652,ENSG00000158092
ENSG00000006652,ENSG00000135605
ENSG00000006652,ENSG00000043462
ENSG00000006652,ENSG00000007312
ENSG00000006652,ENSG00000177885
ENSG00000006652,ENSG00000134215
ENSG00000006652,ENSG00000105369
ENSG00000006652,ENSG00000010671
ENSG00000006652,ENSG00000197943
ENSG00000006652,ENSG00000110395
ENSG00000006652,ENSG00000115085
ENSG00000006652,ENSG00000165025
ENSG00000006652,ENSG00000160293
ENSG00000006652,ENSG00000177455
ENSG00000006652,ENSG00000147010
ENSG00000006652,ENSG00000254087
ENSG00000006652,ENSG00000141968
ENSG00000006695,ENSG00000111537
ENSG00000006695,ENSG00000153071
ENSG00000006704,ENSG00000108510
ENSG00000006712,ENSG00000224877
ENSG00000006712,ENSG00000198176
ENSG00000006712,ENSG00000147065
ENSG00000006712,ENSG00000167850
ENSG00000006715,ENSG00000160282
ENSG00000006715,ENSG00000203747
ENSG00000006747,ENSG00000213218
ENSG00000006757,ENSG00000156304
ENSG00000006757,ENSG00000088926
ENSG00000006788,ENSG00000179761
ENSG00000006788,ENSG00000113552
ENSG00000007168,ENSG00000177463
ENSG00000007171,ENSG00000118137
ENSG00000007312,ENSG00000150672
ENSG00000007312,ENSG00000006652
ENSG00000007312,ENSG00000092421
ENSG00000007350,ENSG00000274274
ENSG00000007350,ENSG00000164985
ENSG00000007392,ENSG00000170293
ENSG00000007402,ENSG00000129055
ENSG00000007541,ENSG00000174501
ENSG00000007541,ENSG00000164066
ENSG00000007908,ENSG00000183751
ENSG00000007908,ENSG00000168671
ENSG00000007952,ENSG00000069493
ENSG00000007952,ENSG00000167419
ENSG00000008018,ENSG00000126777
ENSG00000008018,ENSG00000186642
ENSG00000008018,ENSG00000116288
ENSG00000008018,ENSG00000121351
ENSG00000008018,ENSG00000164597
ENSG00000008018,ENSG00000138435
ENSG00000008018,ENSG00000102158
ENSG00000008056,ENSG00000215305
ENSG00000008394,ENSG00000164430
ENSG00000008405,ENSG00000096384
ENSG00000008405,ENSG00000080824
ENSG00000008405,ENSG00000100591
ENSG00000008405,ENSG00000142208
ENSG00000008405,ENSG00000082175
ENSG00000008405,ENSG00000113580
ENSG00000008405,ENSG00000109971
ENSG00000008405,ENSG00000132002
ENSG00000008405,ENSG00000171497
ENSG00000008405,ENSG00000174842
ENSG00000008405,ENSG00000170606
ENSG00000008405,ENSG00000110958
ENSG00000008405,ENSG00000151623
ENSG00000008405,ENSG00000168439
ENSG00000008405,ENSG00000081913
ENSG00000008405,ENSG00000096060
ENSG00000008405,ENSG00000169083
ENSG00000008405,ENSG00000198793
ENSG00000008513,ENSG00000137574
ENSG00000008516,ENSG00000274290
ENSG00000008516,ENSG00000233224
ENSG00000008516,ENSG00000180596
ENSG00000008516,ENSG00000196747
ENSG00000008516,ENSG00000168242
ENSG00000008516,ENSG00000276903
ENSG00000008516,ENSG00000176915
ENSG00000008516,ENSG00000197697
ENSG00000008516,ENSG00000184678
ENSG00000008516,ENSG00000124635
ENSG00000008516,ENSG00000175334
ENSG00000008516,ENSG00000196787
ENSG00000008516,ENSG00000275221
ENSG00000008710,ENSG00000198807
ENSG00000008838,ENSG00000100142
ENSG00000008838,ENSG00000065054
ENSG00000008952,ENSG00000188089
ENSG00000008988,ENSG00000163734
ENSG00000008988,ENSG00000163735
ENSG00000008988,ENSG00000163736
ENSG00000008988,ENSG00000163737
ENSG00000008988,ENSG00000169248
ENSG00000008988,ENSG00000081041
ENSG00000008988,ENSG00000169245
ENSG00000008988,ENSG00000169855
ENSG00000008988,ENSG00000107562
ENSG00000008988,ENSG00000163739
ENSG00000008988,ENSG00000108688
ENSG00000008988,ENSG00000172156
ENSG00000008988,ENSG00000188393
ENSG00000008988,ENSG00000184697
ENSG00000008988,ENSG00000147065
ENSG00000008988,ENSG00000105205
ENSG00000008988,ENSG00000114933
ENSG00000008988,ENSG00000198728
ENSG00000008988,ENSG00000134262
ENSG00000008988,ENSG00000182768
ENSG00000008988,ENSG00000111196
ENSG00000008988,ENSG00000149557
ENSG00000008988,ENSG00000163464
ENSG00000008988,ENSG00000161921
ENSG00000008988,ENSG00000131748
ENSG00000008988,ENSG00000108700
ENSG00000008988,ENSG00000180871
ENSG00000009413,ENSG00000184260
ENSG00000009413,ENSG00000168710
ENSG00000009709,ENSG00000262406
ENSG00000009765,ENSG00000168003
ENSG00000009765,ENSG00000164978
ENSG00000009765,ENSG00000138079
ENSG00000009790,ENSG00000196289
ENSG00000009830,ENSG00000185304
ENSG00000009844,ENSG00000155974
ENSG00000010165,ENSG00000072062
ENSG00000010165,ENSG00000141522
ENSG00000010165,ENSG00000143878
ENSG00000010165,ENSG00000177105
ENSG00000010165,ENSG00000142875
ENSG00000010165,ENSG00000165059
ENSG00000010165,ENSG00000064300
ENSG00000010165,ENSG00000067560
ENSG00000010165,ENSG00000111348
ENSG00000010256,ENSG00000175600
ENSG00000010256,ENSG00000167080
ENSG00000010256,ENSG00000124571
ENSG00000010256,ENSG00000122376
ENSG00000010278,ENSG00000160999
ENSG00000010610,ENSG00000151687
ENSG00000010610,ENSG00000160999
ENSG00000010610,ENSG00000275700
ENSG00000010610,ENSG00000184207
ENSG00000010610,ENSG00000100938
ENSG00000010610,ENSG00000151413
ENSG00000010610,ENSG00000150779
ENSG00000010610,ENSG00000143382
ENSG00000010610,ENSG00000121879
ENSG00000010610,ENSG00000032742
ENSG00000010610,ENSG00000197753
ENSG00000010671,ENSG00000170037
ENSG00000010671,ENSG00000006652
ENSG00000010671,ENSG00000150672
ENSG00000010671,ENSG00000123095
ENSG00000010810,ENSG00000108590
ENSG00000010810,ENSG00000150672
ENSG00000010810,ENSG00000161981
ENSG00000010810,ENSG00000123095
ENSG00000010810,ENSG00000170037
ENSG00000010810,ENSG00000164877
ENSG00000010810,ENSG00000160710
ENSG00000011007,ENSG00000005022
ENSG00000011007,ENSG00000224877
ENSG00000011007,ENSG00000242247
ENSG00000011052,ENSG00000060762
ENSG00000011052,ENSG00000054282
ENSG00000011201,ENSG00000164938
ENSG00000011260,ENSG00000242372
